HMI Tag name;Multiplex Tag;Index
internal tags\ANA01_M_name;internal tags\WKVOS_MP_01_PT_01_name;0
internal tags\ANA01_M_name;internal tags\WKVOS_MP_01_PT_02_name;1
internal tags\ANA01_M_name;internal tags\WKVOS_MP_01_SDV01_name;2
internal tags\ANA01_M_name;internal tags\WKVOS_MP_01_MV_02_name;3
internal tags\ANA01_M_name;internal tags\WKVOS_MP_03_PT_01_name;4
internal tags\ANA01_M_name;internal tags\WKVOS_MP_03_PT_02_name;5
internal tags\ANA01_M_name;internal tags\WKVOS_MP_02_PT_01_name;6
internal tags\ANA01_M_name;internal tags\WKVOS_MP_02_PT_02_name;7
internal tags\ANA01_M_name;internal tags\WKVOS_MP_02_SDV01_name;8
internal tags\ANA01_M_name;internal tags\WKVOS_MP_02_MV_02_name;9
internal tags\ANA01_M_name;internal tags\WKVOS_MP_04_PT_01_name;10
internal tags\ANA01_M_name;internal tags\WKVOS_MP_04_PT_02_name;11
internal tags\ANA01_M_name;internal tags\WKVOS_MP_05_PT_01_name;12
internal tags\ANA01_M_name;internal tags\WKVOS_MP_05_PT_02_name;13
internal tags\ANA01_M_name;internal tags\WKVOS_ADS01_IT_01_name;14
internal tags\ANA01_M_name;internal tags\WKVOS_ADS01_ET_01_name;15
internal tags\ANA01_M_name;internal tags\WKVOS_ADS02_IT_01_name;16
internal tags\ANA01_M_name;internal tags\WKVOS_ADS02_ET_01_name;17
internal tags\ANA01_M_name;internal tags\WKVOS_MP_06_PT_01_name;18
internal tags\ANA01_M_name;internal tags\WKVOS_MP_06_PT_02_name;19
internal tags\ANA01_M_name;internal tags\WKVOS_MP_07_PT_01_name;20
internal tags\ANA01_M_name;internal tags\WKVOS_MP_07_PT_02_name;21
internal tags\ANA01_M_name;internal tags\WKVOS_MP_07_MV_01_name;22
internal tags\ANA01_M_name;internal tags\WKVOS_MP_07_MV_02_name;23
internal tags\ANA01_M_name;internal tags\WKVOS_MP_10_PT_01_name;24
internal tags\ANA01_M_name;internal tags\WKVOS_MP_10_PT_02_name;25
internal tags\ANA01_M_name;internal tags\WKVOS_MP_08_PT_01_name;26
internal tags\ANA01_M_name;internal tags\WKVOS_MP_08_PT_02_name;27
internal tags\ANA01_M_name;internal tags\WKVOS_MP_09_PT_01_name;28
internal tags\ANA01_M_name;internal tags\WKVOS_MP_09_PT_02_name;29
internal tags\ANA01_M_name;internal tags\WKVOS_MP_12_PT_01_name;30
internal tags\ANA01_M_name;internal tags\WKVOS_TC_01_LT_01_name;31
internal tags\ANA01_M_name;internal tags\WKVOS_TC_01_LT_02_name;32
internal tags\ANA01_M_name;internal tags\WKVOS_TC_01_LT_03_name;33
internal tags\ANA01_M_name;internal tags\WKVOS_TC_01_LT_04_name;34
internal tags\ANA01_M_name;internal tags\WKVOS_TC_01_LT_05_name;35
internal tags\ANA01_M_name;internal tags\WKVOS_TC_01_LT_06_name;36
internal tags\ANA01_M_name;internal tags\WKVOS_TC_01_FQ_01_name;37
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV01_name;0
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV02_name;1
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV03_name;2
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV04_name;3
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV05_name;4
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV06_name;5
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV07_name;6
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV08_name;7
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV09_name;8
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV10_name;9
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV11_name;10
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV12_name;11
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV13_name;12
internal tags\MOV01_M_name;internal tags\WKVOS_MP_00_MOV14_name;13
internal tags\MOV01_M_name;internal tags\WKVOS_MP_01_MOV01_name;14
internal tags\MOV01_M_name;internal tags\WKVOS_MP_01_MOV02_name;15
internal tags\MOV01_M_name;internal tags\WKVOS_MP_02_MOV01_name;16
internal tags\MOV01_M_name;internal tags\WKVOS_MP_02_MOV02_name;17
internal tags\MOV01_M_name;internal tags\WKVOS_MP_03_MOV01_name;18
internal tags\MOV01_M_name;internal tags\WKVOS_MP_03_MOV02_name;19
internal tags\MOV01_M_name;internal tags\WKVOS_MP_04_MOV01_name;20
internal tags\MOV01_M_name;internal tags\WKVOS_MP_04_MOV02_name;21
internal tags\MOV01_M_name;internal tags\WKVOS_MP_05_MOV01_name;22
internal tags\MOV01_M_name;internal tags\WKVOS_MP_05_MOV02_name;23
internal tags\MOV01_M_name;internal tags\WKVOS_MP_06_MOV01_name;24
internal tags\MOV01_M_name;internal tags\WKVOS_MP_06_MOV02_name;25
internal tags\MOV01_M_name;internal tags\WKVOS_MP_07_MOV01_name;26
internal tags\MOV01_M_name;internal tags\WKVOS_MP_07_MOV02_name;27
internal tags\MOV01_M_name;internal tags\WKVOS_MP_08_MOV01_name;28
internal tags\MOV01_M_name;internal tags\WKVOS_MP_08_MOV02_name;29
internal tags\MOV01_M_name;internal tags\WKVOS_MP_09_MOV01_name;30
internal tags\MOV01_M_name;internal tags\WKVOS_MP_09_MOV02_name;31
internal tags\MOV01_M_name;internal tags\WKVOS_MP_10_MOV01_name;32
internal tags\MOV01_M_name;internal tags\WKVOS_MP_10_MOV02_name;33
internal tags\MOT01_M_GW3;WKVOS_MP_01_ES_01\WKVOS_MP_01_ES_01_GW3;0
internal tags\MOT01_M_GW3;WKVOS_MP_02_ES_01\WKVOS_MP_02_ES_01_GW3;1
internal tags\MOT01_M_GW3;WKVOS_MP_03_ES_01\WKVOS_MP_03_ES_01_GW3;2
internal tags\MOT01_M_GW3;WKVOS_MP_04_ES_01\WKVOS_MP_04_ES_01_GW3;3
internal tags\MOT01_M_GW3;WKVOS_MP_05_ES_01\WKVOS_MP_05_ES_01_GW3;4
internal tags\MOT01_M_GW3;WKVOS_MP_06_ES_01\WKVOS_MP_06_ES_01_GW3;5
internal tags\MOT01_M_GW3;WKVOS_MP_07_ES_01\WKVOS_MP_07_ES_01_GW3;6
internal tags\MOT01_M_GW3;WKVOS_MP_08_ES_01\WKVOS_MP_08_ES_01_GW3;7
internal tags\MOT01_M_GW3;WKVOS_MP_09_ES_01\WKVOS_MP_09_ES_01_GW3;8
internal tags\MOT01_M_GW3;WKVOS_MP_10_ES_01\WKVOS_MP_10_ES_01_GW3;9
internal tags\MOT01_M_GW3;WKVOS_MP_12_ES_01\WKVOS_MP_12_ES_01_GW3;10
internal tags\MOT01_M_GW3;WKVOS_TC_01_ES_01\WKVOS_TC_01_ES_01_GW3;11
internal tags\MOT01_M_GW3;WKVOS_TC_01_ES_02\WKVOS_TC_01_ES_02_GW3;12
internal tags\MOT01_M_GW3;WKVOS_TC_01_ES_03\WKVOS_TC_01_ES_03_GW3;13
internal tags\MOT01_M_GW3;WKVOS_TC_01_ES_04\WKVOS_TC_01_ES_04_GW3;14
internal tags\MOT01_M_GW3;WKVOS_TC_01_ES_05\WKVOS_TC_01_ES_05_GW3;15
internal tags\MOT01_M_GW3;WKVOS_TC_01_ES_06\WKVOS_TC_01_ES_06_GW3;16
internal tags\MOT01_M_GW3;WKVOS_TC_01_ES_07\WKVOS_TC_01_ES_07_GW3;17
internal tags\MOT01_M_GW3;WKVOS_TC_01_ES_08\WKVOS_TC_01_ES_08_GW3;18
internal tags\MOT01_M_GW3;WKVOS_TC_01_ES_09\WKVOS_TC_01_ES_09_GW3;19
internal tags\MOT01_M_GW3;WKVOS_TC_01_ES_10\WKVOS_TC_01_ES_10_GW3;20
internal tags\MOT01_M_GW3;WKVOS_TC_01_ES_11\WKVOS_TC_01_ES_11_GW3;21
internal tags\MOT01_M_GW3;WKVOS_TC_01_ES_12\WKVOS_TC_01_ES_12_GW3;22
internal tags\BIN01_M_GW2;WKVOS_MP_00_HS_01\WKVOS_MP_00_HS_01_GW2;0
internal tags\BIN01_M_GW2;WKVOS_MP_00_HS_02\WKVOS_MP_00_HS_02_GW2;1
internal tags\BIN01_M_GW2;WKVOS_JF_01_ES_01\WKVOS_JF_01_ES_01_GW2;2
internal tags\BIN01_M_GW2;WKVOS_TC_01_LS_01\WKVOS_TC_01_LS_01_GW2;3
internal tags\BIN01_M_GW2;WKVOS_TC_01_LS_02\WKVOS_TC_01_LS_02_GW2;4
internal tags\BIN01_M_GW2;WKVOS_TC_01_LS_03\WKVOS_TC_01_LS_03_GW2;5
internal tags\BIN01_M_GW2;WKVOS_TC_01_LS_04\WKVOS_TC_01_LS_04_GW2;6
